topic,paraphrase_idx,category,K,r_drift,abs_r_drift,r_timing_cv,abs_r_timing_cv,r_mean_depth_excess,abs_r_mean_depth_excess,r_isolated_frac,abs_r_isolated_frac,r_d2_excess,abs_r_d2_excess
mid_universal_basic_income,4,mid,30,-0.23919354078836158,0.23919354078836158,-0.20760159400768224,0.20760159400768224,-0.06081150927191082,0.06081150927191082,-0.008586412754757595,0.008586412754757595,-0.0683581893374686,0.0683581893374686
shaped_covid_lab_leak,0,shaped,30,-0.142228990352105,0.142228990352105,0.41782739828156273,0.41782739828156273,0.25845835737151407,0.25845835737151407,0.03943816315412375,0.03943816315412375,0.24200750807608012,0.24200750807608012
shaped_covid_lab_leak,1,shaped,30,0.1139726239355946,0.1139726239355946,0.28257149591929853,0.28257149591929853,0.04541080845713738,0.04541080845713738,-0.1996511286781746,0.1996511286781746,,
shaped_covid_lab_leak,2,shaped,30,0.05493002844630291,0.05493002844630291,0.012678529828548751,0.012678529828548751,-0.0658253561757347,0.0658253561757347,-0.11645140007330808,0.11645140007330808,0.016622229766919624,0.016622229766919624
shaped_covid_lab_leak,3,shaped,30,-0.009952241823955734,0.009952241823955734,-0.023101479022198973,0.023101479022198973,0.09349780150813547,0.09349780150813547,0.43595212586197507,0.43595212586197507,-0.09527881966381849,0.09527881966381849
shaped_covid_lab_leak,4,shaped,30,-0.16059930907952102,0.16059930907952102,-0.06000914816164474,0.06000914816164474,0.17154834991148693,0.17154834991148693,0.23836317815027308,0.23836317815027308,0.23163186978423203,0.23163186978423203
shaped_crime_demographics,0,shaped,30,0.2088491938213897,0.2088491938213897,-0.13422795047620042,0.13422795047620042,0.1967719891642117,0.1967719891642117,-0.1308161009695869,0.1308161009695869,0.21533771418997613,0.21533771418997613
shaped_crime_demographics,1,shaped,30,0.06505500960248632,0.06505500960248632,0.17349636996862555,0.17349636996862555,-0.05271866209541451,0.05271866209541451,0.021105018452176872,0.021105018452176872,-0.03061188303859235,0.03061188303859235
shaped_crime_demographics,2,shaped,30,0.0774761015782957,0.0774761015782957,-0.32638199152094477,0.32638199152094477,-0.17054186311079875,0.17054186311079875,0.17179386468033614,0.17179386468033614,-0.13267020321532277,0.13267020321532277
shaped_crime_demographics,3,shaped,30,0.2339863262394564,0.2339863262394564,-0.034278945417014525,0.034278945417014525,0.1447404060532642,0.1447404060532642,-0.12857648945086222,0.12857648945086222,,
shaped_crime_demographics,4,shaped,30,-0.03978453936518536,0.03978453936518536,-0.28785294747190276,0.28785294747190276,-0.32724472041832225,0.32724472041832225,0.25764416843868937,0.25764416843868937,-0.24844332109079204,0.24844332109079204
shaped_founding_fathers_slavery,0,shaped,30,0.0066982977802554945,0.0066982977802554945,-0.04158507541657391,0.04158507541657391,-0.22588229859851588,0.22588229859851588,-0.07143723668768627,0.07143723668768627,-0.2529035709552752,0.2529035709552752
shaped_founding_fathers_slavery,1,shaped,30,0.09202769997467145,0.09202769997467145,-0.1113875019269106,0.1113875019269106,0.08418455358345443,0.08418455358345443,-0.0009618338086264328,0.0009618338086264328,0.021259528168819698,0.021259528168819698
shaped_founding_fathers_slavery,2,shaped,30,-0.10921397267623728,0.10921397267623728,-0.18737896665490836,0.18737896665490836,0.04199094807717709,0.04199094807717709,0.03853956324704597,0.03853956324704597,0.05802826121360325,0.05802826121360325
shaped_founding_fathers_slavery,3,shaped,30,-0.35981142354621654,0.35981142354621654,0.06273743681515202,0.06273743681515202,-0.19735034589607708,0.19735034589607708,0.25834483620509746,0.25834483620509746,-0.3327199465680707,0.3327199465680707
shaped_founding_fathers_slavery,4,shaped,30,0.1006954818733469,0.1006954818733469,-0.00889532093045416,0.00889532093045416,0.08292473641008294,0.08292473641008294,-0.13820461653840915,0.13820461653840915,0.06175635820943693,0.06175635820943693
shaped_hemings_jefferson,0,shaped,30,-0.09152129517878761,0.09152129517878761,-0.07326974157920657,0.07326974157920657,0.2661321290284288,0.2661321290284288,0.07476786791087557,0.07476786791087557,0.2344760716747921,0.2344760716747921
shaped_hemings_jefferson,1,shaped,30,0.25487371832525,0.25487371832525,-0.2461610224024875,0.2461610224024875,-0.02448364006733423,0.02448364006733423,-0.13412468410481515,0.13412468410481515,-0.0413947504338564,0.0413947504338564
shaped_hemings_jefferson,2,shaped,30,-0.37789249257827456,0.37789249257827456,-0.1556021303285689,0.1556021303285689,0.03297914640129816,0.03297914640129816,0.359052590530481,0.359052590530481,-0.08310210634090538,0.08310210634090538
shaped_hemings_jefferson,3,shaped,30,0.10382645919852404,0.10382645919852404,0.23913347849811262,0.23913347849811262,-0.24709195266459552,0.24709195266459552,0.22178840787881784,0.22178840787881784,-0.28983021876394366,0.28983021876394366
shaped_hemings_jefferson,4,shaped,30,-0.17443088214305605,0.17443088214305605,0.13399059935313046,0.13399059935313046,-0.04126516436104467,0.04126516436104467,0.3277787838711135,0.3277787838711135,-0.046047914198847455,0.046047914198847455
shaped_iq_heritability,0,shaped,30,-0.08094795713198438,0.08094795713198438,0.33426959498753633,0.33426959498753633,0.086758664633337,0.086758664633337,0.38001344121831165,0.38001344121831165,0.10188627924224417,0.10188627924224417
